"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Ideal","Both","Juvenile","Feed Cost",19065422197.1028,1976991024.55508,15374145057.8864,23175208859.784
"Ideal","Both","Juvenile","Gross Margin",26895852741.5427,14244357083.6788,617497624.83247,56203606131.7845
"Ideal","Both","Juvenile","Health Cost",0,0,0,0
"Ideal","Both","Juvenile","Labour Cost",5031952737.76735,370608221.963691,4347875258.65197,5794622320.30221
"Ideal","Both","Juvenile","Population",4521199.47874537,297371.812131388,3968448.34898204,5130104.50803597
"Ideal","Both","Juvenile","Value of Herd Increase",50154438967.9956,14474452070.1269,23458943250.1832,80633590445.8152
"Ideal","Both","Juvenile","Value of Manure",838788708.417213,44808374.6649755,754727584.377284,931271735.208179
"Ideal","Both","Juvenile","Value of Offtake",0,0,0,0
"Ideal","Both","Juvenile Female","Feed Cost",7617293534.74151,1030709264.87759,5721741814.99055,9768177122.28543
"Ideal","Both","Juvenile Female","Gross Margin",6316691400.71482,5448920149.71141,-3584773214.47511,17481499076.2439
"Ideal","Both","Juvenile Female","Health Cost",0,0,0,0
"Ideal","Both","Juvenile Female","Labour Cost",2597534953.87394,236869081.286697,2146451628.28695,3071660639.28485
"Ideal","Both","Juvenile Female","Population",2309577.9765019,149721.860418213,2029865.28867942,2616638.71655371
"Ideal","Both","Juvenile Female","Value of Herd Increase",16098173832.4074,5417051030.67898,6371253596.55743,27436951868.5907
"Ideal","Both","Juvenile Female","Value of Manure",433346056.922862,24654818.8750113,386667855.239719,484340878.716653
"Ideal","Both","Juvenile Female","Value of Offtake",0,0,0,0
"Ideal","Both","Juvenile Male","Feed Cost",11448128662.3613,1525067808.69774,8731283588.42489,14592437152.0616
"Ideal","Both","Juvenile Male","Gross Margin",20579161340.8279,12669800298.1373,-3418781915.55128,46801835610.1005
"Ideal","Both","Juvenile Male","Health Cost",0,0,0,0
"Ideal","Both","Juvenile Male","Labour Cost",2434417783.89341,222553991.71755,2021239683.14496,2890987748.87427
"Ideal","Both","Juvenile Male","Population",2211621.50224348,147706.206911104,1936318.37419182,2514274.28275778
"Ideal","Both","Juvenile Male","Value of Herd Increase",34056265135.5882,12779807145.9854,10075523693.4359,60830968679.8882
"Ideal","Both","Juvenile Male","Value of Manure",405442651.49435,23951097.5550629,360607074.82055,453300364.186249
"Ideal","Both","Juvenile Male","Value of Offtake",0,0,0,0
"Ideal","Both","Overall","Feed Cost",134398433860.134,8757879054.71742,117270890390.158,151874360469.537
"Ideal","Both","Overall","Gross Margin",310301264914.292,68999429983.6248,175031889491.748,446266475651.336
"Ideal","Both","Overall","Health Cost",0,0,0,0
"Ideal","Both","Overall","Labour Cost",25055769013.34,1242866719.39487,22696190537.7461,27586789199.4734
"Ideal","Both","Overall","Population",14814663.7350263,514910.979331817,13863464.1216489,15877817.3912708
"Ideal","Both","Overall","Value of Herd Increase",271860718564.265,40756952530.0152,195124381494.108,353944661402.34
"Ideal","Both","Overall","Value of Manure",6146920265.63595,163802580.038129,5846104660.53654,6471581467.00179
"Ideal","Both","Overall","Value of Milk",5883754444.86951,2073887449.18648,2626270399.0745,10542333545.4626
"Ideal","Both","Overall","Value of Offtake",185864074512.996,34788424606.06,118797037678.29,254977667165.996
"Ideal","Both","Subadult","Feed Cost",31183357341.4936,2599725400.28859,26313691329.9115,36375006857.1936
"Ideal","Both","Subadult","Gross Margin",54560696646.2633,22004817637.111,14337833965.8676,99539624641.7655
"Ideal","Both","Subadult","Health Cost",0,0,0,0
"Ideal","Both","Subadult","Labour Cost",3573677411.43155,222254303.319108,3159057845.83597,4010039449.80878
"Ideal","Both","Subadult","Population",3195087.77352374,162310.997847871,2890243.29460741,3535892.69863816
"Ideal","Both","Subadult","Value of Herd Increase",49143426697.3755,14464007752.613,24149704005.2757,80105605148.3186
"Ideal","Both","Subadult","Value of Manure",1192436657.11049,47934329.5679307,1103752697.94584,1288613946.09387
"Ideal","Both","Subadult","Value of Offtake",38981868044.7024,9597110948.82211,20559962550.3565,57986329777.4393
"Ideal","Both","Subadult Female","Feed Cost",15445551828.1942,1758289293.3565,12185079356.9518,19032906449.2466
"Ideal","Both","Subadult Female","Gross Margin",16143483198.3927,11293744951.9222,-5061759479.05752,39597496958.2462
"Ideal","Both","Subadult Female","Health Cost",0,0,0,0
"Ideal","Both","Subadult Female","Labour Cost",1993466345.19759,159763233.614269,1683922499.51735,2309389462.22484
"Ideal","Both","Subadult Female","Population",1762891.32720865,84873.0062375199,1603890.35136497,1942821.88274635
"Ideal","Both","Subadult Female","Value of Herd Increase",24827474391.52,9327763344.78689,7869700787.38034,44749582678.1435
"Ideal","Both","Subadult Female","Value of Manure",664985548.517234,29078286.0960421,611577936.558768,722074334.168797
"Ideal","Both","Subadult Female","Value of Offtake",8090041431.74722,2270256144.2259,3659338296.53329,12640009474.8438
"Ideal","Both","Subadult Male","Feed Cost",15737805513.2994,1735648472.43313,12390232240.7483,19246721877.0871
"Ideal","Both","Subadult Male","Gross Margin",38417213447.8706,18151717891.3265,3871305619.22605,75465663033.89
"Ideal","Both","Subadult Male","Health Cost",0,0,0,0
"Ideal","Both","Subadult Male","Labour Cost",1580211066.23396,134589029.261759,1325701363.95987,1857088586.48248
"Ideal","Both","Subadult Male","Population",1432196.44631509,79988.6657762886,1281890.69408784,1599149.10933773
"Ideal","Both","Subadult Male","Value of Herd Increase",24315952305.8556,9551250437.33824,7576137524.24071,45034123395.2119
"Ideal","Both","Subadult Male","Value of Manure",527451108.593252,26341494.7052516,477982378.493279,579184408.337401
"Ideal","Both","Subadult Male","Value of Offtake",30891826612.9552,9336781622.61691,12622544324.4208,49311586314.6842
"Ideal","Goats","Adult","Feed Cost",26691502540.4031,3058453770.96301,20709766914.9892,32835495911.0976
"Ideal","Goats","Adult","Gross Margin",67258156434.7463,21882708437.7524,24471651335.7888,110592912064.923
"Ideal","Goats","Adult","Health Cost",0,0,0,0
"Ideal","Goats","Adult","Labour Cost",6626280699.23055,608714765.139923,5435025185.73076,7800205204.56181
"Ideal","Goats","Adult","Population",2953757.69379844,73215.3047222212,2807531.86854379,3096561.34011393
"Ideal","Goats","Adult","Value of Herd Increase",66910705249.5519,15459015073.3168,36593596644.6763,97848330070.492
"Ideal","Goats","Adult","Value of Manure",1658994936.69661,66785916.1617496,1541288359.22799,1776552624.67452
"Ideal","Goats","Adult","Value of Offtake",28383529908.0488,7470783465.7463,14429813185.9384,43862724338.8286
"Ideal","Goats","Adult Female","Feed Cost",21957986261.5416,2982228247.4622,16170273401.5935,27989114690.3235
"Ideal","Goats","Adult Female","Gross Margin",27046539143.0635,14823081258.7069,-2164945940.932,55073182909.4697
"Ideal","Goats","Adult Female","Health Cost",0,0,0,0
"Ideal","Goats","Adult Female","Labour Cost",5561064382.74713,586593131.192729,4407388559.73869,6692167413.28927
"Ideal","Goats","Adult Female","Population",2358636.34012747,30807.1792343411,2298766.43962884,2420781.72971193
"Ideal","Goats","Adult Female","Value of Herd Increase",38678129031.2204,11385685780.8327,16597172468.408,60239922893.1637
"Ideal","Goats","Adult Female","Value of Manure",1393668813.94305,63003162.8673743,1289453008.10347,1497638177.76142
"Ideal","Goats","Adult Female","Value of Offtake",10871082362.106,3274106405.86251,4580484629.62244,17328321819.9895
"Ideal","Goats","Adult Male","Feed Cost",4733516278.86155,724279495.368704,3411499834.31478,6223592516.99486
"Ideal","Goats","Adult Male","Gross Margin",40211617291.6829,15862288279.3691,8546401736.37598,71711438683.0605
"Ideal","Goats","Adult Male","Health Cost",0,0,0,0
"Ideal","Goats","Adult Male","Labour Cost",1065216316.48343,135502004.601217,807068937.793636,1338383222.37002
"Ideal","Goats","Adult Male","Population",595121.353670978,56463.8151774285,479101.960592087,703624.021200073
"Ideal","Goats","Adult Male","Value of Herd Increase",28232576218.3315,10138231888.3855,8661713575.90878,48636470740.7531
"Ideal","Goats","Adult Male","Value of Manure",265326122.753561,20034307.0585614,227136081.819669,305311578.069937
"Ideal","Goats","Adult Male","Value of Offtake",17512447545.9428,6690137549.26752,5167231133.65027,31601977854.5435
"Ideal","Goats","Juvenile","Feed Cost",4828038946.86048,552904511.434365,3803378250.54203,5956920281.33018
"Ideal","Goats","Juvenile","Gross Margin",474461836.399495,2329867228.23544,-3563454524.45229,5574662545.796
"Ideal","Goats","Juvenile","Health Cost",0,0,0,0
"Ideal","Goats","Juvenile","Labour Cost",1922193843.10389,171704144.548884,1600555557.81446,2266853328.09118
"Ideal","Goats","Juvenile","Population",1651739.2237946,124257.85016229,1410857.52556676,1892576.26585692
"Ideal","Goats","Juvenile","Value of Herd Increase",6903799175.38867,2381592071.77254,2841584025.02892,12158398299.494
"Ideal","Goats","Juvenile","Value of Manure",320895450.975201,18577416.110075,285688707.49913,358387114.885244
"Ideal","Goats","Juvenile","Value of Offtake",0,0,0,0
"Ideal","Goats","Juvenile Female","Feed Cost",2386582280.61347,368280627.257167,1694025293.75797,3137711221.18511
"Ideal","Goats","Juvenile Female","Gross Margin",127559977.735903,1502728228.95842,-2454968921.44847,3428333766.89235
"Ideal","Goats","Juvenile Female","Health Cost",0,0,0,0
"Ideal","Goats","Juvenile Female","Labour Cost",1024137186.94607,118936645.142402,800478782.353784,1261853105.57746
"Ideal","Goats","Juvenile Female","Population",859691.993748513,63052.7772729802,737285.308759507,981743.918852744
"Ideal","Goats","Juvenile Female","Value of Herd Increase",3367107314.39252,1505520382.38723,903290610.931763,6670145179.35348
"Ideal","Goats","Juvenile Female","Value of Manure",171172130.902925,11025257.0677532,150971999.241315,192958392.523671
"Ideal","Goats","Juvenile Female","Value of Offtake",0,0,0,0
"Ideal","Goats","Juvenile Male","Feed Cost",2441456666.24701,372728734.912066,1757209297.16968,3203609038.69818
"Ideal","Goats","Juvenile Male","Gross Margin",346901858.663592,1533275765.63652,-2444676863.13183,3593321810.6472
"Ideal","Goats","Juvenile Male","Health Cost",0,0,0,0
"Ideal","Goats","Juvenile Male","Labour Cost",898056656.157819,104490557.272153,703179476.214762,1103344108.84363
"Ideal","Goats","Juvenile Male","Population",792047.230046091,61223.9842210033,673990.622872105,910635.968472006
"Ideal","Goats","Juvenile Male","Value of Herd Increase",3536691860.99615,1527801969.45573,793932181.463501,6767295739.86029
"Ideal","Goats","Juvenile Male","Value of Manure",149723320.072275,10093777.9102737,131066275.02182,170205759.581103
"Ideal","Goats","Juvenile Male","Value of Offtake",0,0,0,0
"Ideal","Goats","Overall","Feed Cost",41046147594.7869,3339818124.74363,34540432892.5929,47779445952.8855
"Ideal","Goats","Overall","Gross Margin",73513018740.0861,22788597921.342,29514914991.6971,118134286669.979
"Ideal","Goats","Overall","Health Cost",0,0,0,0
"Ideal","Goats","Overall","Labour Cost",10052758973.0167,655311277.18707,8767892696.00142,11345627460.3574
"Ideal","Goats","Overall","Population",5818379.62153866,214261.280206746,5404078.26795337,6245391.47014248
"Ideal","Goats","Overall","Value of Herd Increase",79126333068.7448,16274162533.7131,47397815735.1187,111257742763.633
"Ideal","Goats","Overall","Value of Manure",2480680476.67535,79653369.8381764,2331079023.34786,2631059143.55424
"Ideal","Goats","Overall","Value of Milk",3622709580.08268,1717351553.20828,1177391421.38478,7791199903.03807
"Ideal","Goats","Overall","Value of Offtake",39382202182.387,8241920366.17001,23539871334.4924,56115399049.1973
"Ideal","Goats","Subadult","Feed Cost",9526606107.5233,963239651.1349,7708381473.96697,11443925398.0137
"Ideal","Goats","Subadult","Gross Margin",5780400468.94027,5030382881.787,-3376579938.07965,16245823209.9376
"Ideal","Goats","Subadult","Health Cost",0,0,0,0
"Ideal","Goats","Subadult","Labour Cost",1504284430.6823,121927744.761045,1272873699.83916,1749227314.95362
"Ideal","Goats","Subadult","Population",1212882.70394562,66552.7911602268,1083769.1499731,1346466.01899662
"Ideal","Goats","Subadult","Value of Herd Increase",5311828643.80416,2494906813.40911,1174334777.96206,10920433073.5128
"Ideal","Goats","Subadult","Value of Manure",500790089.003538,22461219.2664633,458193214.202867,545902344.794931
"Ideal","Goats","Subadult","Value of Offtake",10998672274.3382,3508438899.17424,4587995764.38443,18333537506.8724
"Ideal","Goats","Subadult Female","Feed Cost",4474064698.66147,614700678.666771,3315814193.25102,5714091895.84277
"Ideal","Goats","Subadult Female","Gross Margin",600818253.063141,2254075090.81952,-3477247171.26727,5362360950.1655
"Ideal","Goats","Subadult Female","Health Cost",0,0,0,0
"Ideal","Goats","Subadult Female","Labour Cost",882040679.374409,94996197.8287099,700614634.833034,1067547744.26693
"Ideal","Goats","Subadult Female","Population",693612.344462493,33389.2540666532,629393.737180883,761689.849191216
"Ideal","Goats","Subadult Female","Value of Herd Increase",2816798496.24948,1424196836.46005,495382424.519131,6004912874.13281
"Ideal","Goats","Subadult Female","Value of Manure",293101772.340542,15091447.4308882,266023242.427119,321921274.269489
"Ideal","Goats","Subadult Female","Value of Offtake",2847023362.509,973541299.985036,910982048.844669,4758132618.57227
"Ideal","Goats","Subadult Male","Feed Cost",5052541408.86183,721684033.12027,3703767239.96192,6537846526.19002
"Ideal","Goats","Subadult Male","Gross Margin",5179582215.87713,4304958553.33412,-2902555372.26899,14041691522.9617
"Ideal","Goats","Subadult Male","Health Cost",0,0,0,0
"Ideal","Goats","Subadult Male","Labour Cost",622243751.307892,70532924.2627221,488071451.440545,762775893.935045
"Ideal","Goats","Subadult Male","Population",519270.359483124,37786.5013757721,444989.223648266,593469.11326092
"Ideal","Goats","Subadult Male","Value of Herd Increase",2495030147.55468,1565197794.94055,62882103.5812633,6110561274.44735
"Ideal","Goats","Subadult Male","Value of Manure",207688316.662996,13105598.5656511,183532930.293262,234360793.445299
"Ideal","Goats","Subadult Male","Value of Offtake",8151648911.82918,3371139639.74846,2058967727.38695,15379032566.4509
"Ideal","Sheep","Adult","Feed Cost",57458151781.1349,7142908396.03952,43837191999.2765,72020115648.7149
"Ideal","Sheep","Adult","Gross Margin",161586559091.74,57525065288.3336,50779213998.9462,276244075283.232
"Ideal","Sheep","Adult","Health Cost",0,0,0,0
"Ideal","Sheep","Adult","Labour Cost",9823858164.91054,894953951.144395,8096345218.76208,11586541033.2674
"Ideal","Sheep","Adult","Population",4144618.78895872,120253.064909002,3925219.61820858,4393121.88442517
"Ideal","Sheep","Adult","Value of Herd Increase",105652147649.342,27116325086.0208,55322006957.7033,160693985443.06
"Ideal","Sheep","Adult","Value of Manure",2456699963.41164,100380167.382879,2280943365.66822,2637160230.2608
"Ideal","Sheep","Adult","Value of Offtake",118498676560.245,32391406675.1177,56068503862.3801,182574877274.862
"Ideal","Sheep","Adult Female","Feed Cost",47617904623.4353,6995348220.99632,34411608868.2494,61891091292.5301
"Ideal","Sheep","Adult Female","Gross Margin",30261369039.8299,27190927373.995,-23330844379.5457,82057742873.6681
"Ideal","Sheep","Adult Female","Health Cost",0,0,0,0
"Ideal","Sheep","Adult Female","Labour Cost",8271272875.95116,874511839.199998,6579599893.50793,10012825354.1324
"Ideal","Sheep","Adult Female","Population",3351153.14205025,75164.4952286528,3213331.94969163,3505786.49050413
"Ideal","Sheep","Adult Female","Value of Herd Increase",49400010306.3609,16565690400.0357,17747818025.1118,83103949660.2847
"Ideal","Sheep","Adult Female","Value of Manure",2067921901.11132,95122715.0988339,1907145250.1969,2231650788.71809
"Ideal","Sheep","Adult Female","Value of Offtake",32421569466.9572,10594076763.0212,11518461494.6675,53486606006.0221
"Ideal","Sheep","Adult Male","Feed Cost",9840247157.6996,1399987116.86539,7237904097.21797,12674593369.1025
"Ideal","Sheep","Adult Male","Gross Margin",131325190051.91,50322526279.1838,32882930614.5202,233247160016.318
"Ideal","Sheep","Adult Male","Health Cost",0,0,0,0
"Ideal","Sheep","Adult Male","Labour Cost",1552585288.95938,181841342.921382,1204418288.13763,1920113032.80665
"Ideal","Sheep","Adult Male","Population",793465.646908472,56908.1396043392,688459.077241327,913814.061339757
"Ideal","Sheep","Adult Male","Value of Herd Increase",56252137342.9814,20672794056.3635,16753502303.8875,99458249418.2285
"Ideal","Sheep","Adult Male","Value of Manure",388778062.30032,24261692.6631335,344676233.149871,436440713.101215
"Ideal","Sheep","Adult Male","Value of Offtake",86077107093.2875,30616023291.8516,26499218831.3888,147234393443.196
"Ideal","Sheep","Juvenile","Feed Cost",14237383250.2423,1901279715.16056,10781354539.6474,18218745989.3783
"Ideal","Sheep","Juvenile","Gross Margin",26421390905.1432,14045167858.0724,388753541.193602,55282941128.7625
"Ideal","Sheep","Juvenile","Health Cost",0,0,0,0
"Ideal","Sheep","Juvenile","Labour Cost",3109758894.66346,321730758.947161,2529297794.75904,3763919071.30793
"Ideal","Sheep","Juvenile","Population",2869460.25495077,269253.542895426,2385609.53665813,3450475.88941453
"Ideal","Sheep","Juvenile","Value of Herd Increase",43250639792.607,14263292287.5696,16901499251.3085,73177224797.5966
"Ideal","Sheep","Juvenile","Value of Manure",517893257.442012,40684960.3065454,441100536.738055,601389771.161571
"Ideal","Sheep","Juvenile","Value of Offtake",0,0,0,0
"Ideal","Sheep","Juvenile Female","Feed Cost",5230711254.12804,969586430.749315,3512253080.73815,7258890253.212
"Ideal","Sheep","Juvenile Female","Gross Margin",6189131422.97891,5238169597.20943,-3251790171.55321,17072096249.3217
"Ideal","Sheep","Juvenile Female","Health Cost",0,0,0,0
"Ideal","Sheep","Juvenile Female","Labour Cost",1573397766.92787,201910845.309739,1202685493.95309,1983214688.26162
"Ideal","Sheep","Juvenile Female","Population",1449885.98275338,135275.687247095,1205895.83670385,1740924.00545958
"Ideal","Sheep","Juvenile Female","Value of Herd Increase",12731066518.0149,5206986783.9696,3498973303.00568,23663976840.7192
"Ideal","Sheep","Juvenile Female","Value of Manure",262173926.019937,22111884.4459838,221653135.409914,308580088.30199
"Ideal","Sheep","Juvenile Female","Value of Offtake",0,0,0,0
"Ideal","Sheep","Juvenile Male","Feed Cost",9006671996.11425,1479274142.26789,6356199167.13804,12064929926.247
"Ideal","Sheep","Juvenile Male","Gross Margin",20232259482.1643,12578902872.1578,-3531361473.40224,46391564612.9994
"Ideal","Sheep","Juvenile Male","Health Cost",0,0,0,0
"Ideal","Sheep","Juvenile Male","Labour Cost",1536361127.73559,194524875.735806,1177023690.79773,1934353013.37909
"Ideal","Sheep","Juvenile Male","Population",1419574.27219738,134028.405771728,1178643.71769766,1708615.60049295
"Ideal","Sheep","Juvenile Male","Value of Herd Increase",30519573274.5921,12686574384.8739,6716081460.4014,57613453410.55
"Ideal","Sheep","Juvenile Male","Value of Manure",255719331.422075,21663217.395997,215767267.67886,299892767.976544
"Ideal","Sheep","Juvenile Male","Value of Offtake",0,0,0,0
"Ideal","Sheep","Overall","Feed Cost",93352286265.3474,8104981805.00477,77833944600.6519,109692582086.527
"Ideal","Sheep","Overall","Gross Margin",236788246174.206,64670616214.5826,113949963315.277,365740672773.547
"Ideal","Sheep","Overall","Health Cost",0,0,0,0
"Ideal","Sheep","Overall","Labour Cost",15003010040.3233,1034130477.97437,13067641785.0831,17107001223.8828
"Ideal","Sheep","Overall","Population",8996284.11348761,464728.829724259,8139533.52784275,9983288.15715828
"Ideal","Sheep","Overall","Value of Herd Increase",192734385495.521,37175923579.8678,123976038201.073,269018058214.444
"Ideal","Sheep","Overall","Value of Manure",3666239788.9606,141567064.474907,3399581789.54465,3947204708.7315
"Ideal","Sheep","Overall","Value of Milk",2261044864.78683,1171866299.13714,658453490.266467,5107058807.13552
"Ideal","Sheep","Overall","Value of Offtake",146481872330.609,33664651498.0793,82086811939.8524,214670858592.573
"Ideal","Sheep","Subadult","Feed Cost",21656751233.9703,2438836790.24591,17125334533.2573,26655526067.1796
"Ideal","Sheep","Subadult","Gross Margin",48780296177.323,21500114251.7207,9509028340.64349,93394870728.3591
"Ideal","Sheep","Subadult","Health Cost",0,0,0,0
"Ideal","Sheep","Subadult","Labour Cost",2069392980.74925,186905605.975913,1719818364.83032,2453600213.86317
"Ideal","Sheep","Subadult","Population",1982205.06957812,145110.343618401,1714744.57318379,2284637.38456841
"Ideal","Sheep","Subadult","Value of Herd Increase",43831598053.5714,14212869834.967,19216453581.8298,74290679491.5699
"Ideal","Sheep","Subadult","Value of Manure",691646568.106947,42014829.1932585,613701862.01959,776290091.047644
"Ideal","Sheep","Subadult","Value of Offtake",27983195770.3642,9012557835.82306,10363330337.0119,45855308798.2411
"Ideal","Sheep","Subadult Female","Feed Cost",10971487129.5327,1649246718.54038,7932594171.65874,14366406148.3364
"Ideal","Sheep","Subadult Female","Gross Margin",15542664945.3295,11023058389.3146,-5046300113.41961,38573584899.6507
"Ideal","Sheep","Subadult Female","Health Cost",0,0,0,0
"Ideal","Sheep","Subadult Female","Labour Cost",1111425665.82318,130018691.683231,865435053.435691,1375357134.66712
"Ideal","Sheep","Subadult Female","Population",1069278.98274616,76585.0704631495,926543.653962455,1228920.5440015
"Ideal","Sheep","Subadult Female","Value of Herd Increase",22010675895.2705,9173071790.95123,5208526590.52419,41992248315.646
"Ideal","Sheep","Subadult Female","Value of Manure",371883776.176692,24786826.5714817,327343025.767837,422311330.01449
"Ideal","Sheep","Subadult Female","Value of Offtake",5243018069.23822,2034671945.4375,1327575385.02178,9408197862.8892
"Ideal","Sheep","Subadult Male","Feed Cost",10685264104.4376,1599089739.6454,7679029647.23038,13996457675.7624
"Ideal","Sheep","Subadult Male","Gross Margin",33237631231.9935,17726832043.2013,-668782876.090949,69937547105.6353
"Ideal","Sheep","Subadult Male","Health Cost",0,0,0,0
"Ideal","Sheep","Subadult Male","Labour Cost",957967314.926071,114883578.655376,741192333.049253,1192479516.36326
"Ideal","Sheep","Subadult Male","Population",912926.086831961,69016.6945536751,784776.64568352,1057989.33876494
"Ideal","Sheep","Subadult Male","Value of Herd Increase",21820922158.3009,9428642915.65045,4933313904.6444,42270973667.6097
"Ideal","Sheep","Subadult Male","Value of Manure",319762791.930255,22608559.8774535,278371809.312703,365902085.200918
"Ideal","Sheep","Subadult Male","Value of Offtake",22740177701.126,8775435302.47009,5765867209.64498,40163270369.8225
"PPR Zero mortality","Both","Adult","Feed Cost",84078609571.6525,7822774194.16745,69575345523.0543,99931026927.5175
"PPR Zero mortality","Both","Adult","Gross Margin",226041446351.266,62027640159.6588,106439741524.051,350619263857.234
"PPR Zero mortality","Both","Adult","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Adult","Labour Cost",16427822700.4107,1072017287.2991,14338854097.4968,18581427632.8746
"PPR Zero mortality","Both","Adult","Population",7077597.84616456,136828.131466474,6816320.34593388,7358411.5509464
"PPR Zero mortality","Both","Adult","Value of Herd Increase",170637246447.96,31370007669.76,111055210610.307,236016659749.586
"PPR Zero mortality","Both","Adult","Value of Manure",4108496920.15239,119369464.213626,3880409128.98333,4338547014.51645
"PPR Zero mortality","Both","Adult","Value of Offtake",146017352228.023,33603695372.9442,81356847516.5759,212117419397.616
"PPR Zero mortality","Both","Adult Female","Feed Cost",69568014509.1796,7646009596.3269,55455337025.5777,85140977455.4358
"PPR Zero mortality","Both","Adult Female","Gross Margin",56526055301.4822,30992596995.7402,-5108215809.72954,116541080072.52
"PPR Zero mortality","Both","Adult Female","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Adult Female","Labour Cost",13821919380.4086,1044892377.32132,11758286991.7885,15871759522.2667
"PPR Zero mortality","Both","Adult Female","Population",5695565.9198233,80288.2082113487,5548683.95624959,5859318.0093773
"PPR Zero mortality","Both","Adult Female","Value of Herd Increase",87163990825.5468,20066687538.7336,47565034542.7306,127558353415.387
"PPR Zero mortality","Both","Adult Female","Value of Manure",3456094835.72372,113241458.165954,3246067281.05577,3674080686.12799
"PPR Zero mortality","Both","Adult Female","Value of Offtake",43511120502.606,11330095952.308,21292484756.6807,66348949290.4361
"PPR Zero mortality","Both","Adult Male","Feed Cost",14510595062.4729,1548879418.04599,11543104208.5328,17639836820.024
"PPR Zero mortality","Both","Adult Male","Gross Margin",169515391049.784,52939880655.4631,68645125784.8771,276086547332.607
"PPR Zero mortality","Both","Adult Male","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Adult Male","Labour Cost",2605903320.00209,223719426.623452,2174905319.39577,3045685274.79594
"PPR Zero mortality","Both","Adult Male","Population",1382031.92634126,77064.933462413,1228389.81869156,1532934.38021982
"PPR Zero mortality","Both","Adult Male","Value of Herd Increase",83473255622.4129,22990774725.4265,40925784176.8694,130605722584.115
"PPR Zero mortality","Both","Adult Male","Value of Manure",652402084.428677,30726447.3653401,594165290.502212,713454678.274688
"PPR Zero mortality","Both","Adult Male","Value of Offtake",102506231725.417,31427433511.045,41996378725.2796,164395614638.667
"PPR Zero mortality","Both","Juvenile","Feed Cost",18860130415.8978,1992484593.43237,15207436555.1951,23010458153.6575
"PPR Zero mortality","Both","Juvenile","Gross Margin",26460186995.0037,14111823872.1785,893779394.819694,55599857389.7996
"PPR Zero mortality","Both","Juvenile","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Juvenile","Labour Cost",4979646712.59917,360745256.725502,4315162463.43625,5724391058.35774
"PPR Zero mortality","Both","Juvenile","Population",4461908.65984985,292184.49302441,3922689.99550002,5070437.58443026
"PPR Zero mortality","Both","Juvenile","Value of Herd Increase",49469550528.0119,14343023551.5973,23600523446.5538,79456348180.9412
"PPR Zero mortality","Both","Juvenile","Value of Manure",830413595.488769,43897906.1770367,748698499.659994,919239266.832426
"PPR Zero mortality","Both","Juvenile","Value of Offtake",0,0,0,0
"PPR Zero mortality","Both","Juvenile Female","Feed Cost",7532552432.06214,1031936102.98013,5652386559.17862,9732401577.15908
"PPR Zero mortality","Both","Juvenile Female","Gross Margin",5989092602.06733,5188640196.72333,-3903288905.86468,16534078075.3531
"PPR Zero mortality","Both","Juvenile Female","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Juvenile Female","Labour Cost",2573588853.26258,230048363.872623,2151818667.19986,3046544583.0479
"PPR Zero mortality","Both","Juvenile Female","Population",2279538.10088422,147077.458106562,2007698.82755581,2584531.73690626
"PPR Zero mortality","Both","Juvenile Female","Value of Herd Increase",15666026249.8973,5227709424.40168,6111814811.11349,26329586913.0157
"PPR Zero mortality","Both","Juvenile Female","Value of Manure",429207637.494785,24296174.6954034,383335367.854656,478367305.060116
"PPR Zero mortality","Both","Juvenile Female","Value of Offtake",0,0,0,0
"PPR Zero mortality","Both","Juvenile Male","Feed Cost",11327577983.8357,1525633727.87126,8523807403.26049,14418658508.3664
"PPR Zero mortality","Both","Juvenile Male","Gross Margin",20471094392.9364,12540977494.0152,-2564432462.31912,45973872124.5309
"PPR Zero mortality","Both","Juvenile Male","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Juvenile Male","Labour Cost",2406057859.33659,220097095.43516,1994686283.98094,2855278807.40464
"PPR Zero mortality","Both","Juvenile Male","Population",2182370.55896563,145161.831577732,1914966.46205369,2486636.97919555
"PPR Zero mortality","Both","Juvenile Male","Value of Herd Increase",33803524278.1146,12617325643.3123,11129602508.6733,59799391881.2913
"PPR Zero mortality","Both","Juvenile Male","Value of Manure",401205957.993984,23598691.9840811,357304213.530642,449597462.212632
"PPR Zero mortality","Both","Juvenile Male","Value of Offtake",0,0,0,0
"PPR Zero mortality","Both","Overall","Feed Cost",133967277208.939,8832278684.44526,117260421648.89,151707080233.069
"PPR Zero mortality","Both","Overall","Gross Margin",305883605517.534,69404376513.5799,174597641317.375,446033418220.25
"PPR Zero mortality","Both","Overall","Health Cost",0,0,0,0
"PPR Zero mortality","Both","Overall","Labour Cost",24964902502.6518,1211297384.06706,22587065401.8165,27389524357.3522
"PPR Zero mortality","Both","Overall","Population",14702578.6625504,505669.977973558,13750179.0572816,15753009.5359856
"PPR Zero mortality","Both","Overall","Value of Herd Increase",268049832955.401,40927110911.4422,192629040455.628,354345196937.517
"PPR Zero mortality","Both","Overall","Value of Manure",6124796329.99044,158824084.090899,5825064742.18546,6441240021.92935
