"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Current","Both","Subadult","Value of Manure",766375574.82847,18834874.4918259,729958556.611635,802715811.725253
"Current","Both","Subadult","Value of Offtake",22615639972.4399,5432810728.4843,12219080017.0178,33389344246.6895
"Current","Both","Subadult Female","Feed Cost",8640306010.86354,916846352.068516,6905760969.4582,10481119397.7102
"Current","Both","Subadult Female","Gross Margin",-19642578292.5179,2538306224.54859,-24628536087.1357,-14741325150.6258
"Current","Both","Subadult Female","Health Cost",872391400.79483,97451675.8438882,695143315.929125,1078944106.0836
"Current","Both","Subadult Female","Labour Cost",1465317810.42532,107725134.991569,1256625344.35479,1676239497.47536
"Current","Both","Subadult Female","Population",791852.221773457,10744.9088702261,770623.276654064,813174.892843741
"Current","Both","Subadult Female","Value of Herd Increase",-14012238827.4852,3638537491.83275,-20982892197.3122,-6882389297.0227
"Current","Both","Subadult Female","Value of Manure",435033029.639173,14116927.3921557,408126996.944367,461679234.585442
"Current","Both","Subadult Female","Value of Offtake",4912642727.41184,1311934112.05226,2359079774.19782,7484378634.59966
"Current","Both","Subadult Male","Feed Cost",8252390165.74844,854396213.881109,6618051784.78011,9977822346.56511
"Current","Both","Subadult Male","Gross Margin",-8237082814.42233,1387147185.61298,-10770798461.1117,-5341130489.97485
"Current","Both","Subadult Male","Health Cost",667923564.678344,75177633.5084116,525393682.094863,823488300.215516
"Current","Both","Subadult Male","Labour Cost",1116837700.83327,85597613.0373878,951408318.307634,1287023151.49453
"Current","Both","Subadult Male","Population",614330.51047847,17104.8637746794,579788.608711189,644657.101169551
"Current","Both","Subadult Male","Value of Herd Increase",-16234271173.3796,4858118310.26125,-26001685589.092,-7011686911.56814
"Current","Both","Subadult Male","Value of Manure",331342545.189297,12116338.3445561,308987298.75177,354697492.485041
"Current","Both","Subadult Male","Value of Offtake",17702997245.028,5237664067.99089,7598928786.2741,28172509640.5716
"Current","Goats","Adult","Feed Cost",21652877371.8054,2547629355.13528,16823622008.7612,26720035609.2024
"Current","Goats","Adult","Gross Margin",23165088142.1648,12562842887.235,-1523146695.25313,47804822988.6374
"Current","Goats","Adult","Health Cost",3907363791.94137,521463553.845302,2959136722.78685,4988250526.15892
"Current","Goats","Adult","Labour Cost",6557507944.17245,601479949.176393,5377276938.7423,7719265772.91816
"Current","Goats","Adult","Population",2287896.06228662,43049.7636138425,2202111.00933736,2369135.27105078
"Current","Goats","Adult","Value of Herd Increase",31346753977.8997,7432201072.47542,17240312843.8113,46458794325.8293
"Current","Goats","Adult","Value of Manure",1461471064.60583,57870560.5770683,1360766020.69112,1563064611.50918
"Current","Goats","Adult","Value of Offtake",22138023345.0119,5483063929.75532,11580328658.0221,33203698855.0389
"Current","Goats","Adult Female","Feed Cost",18194484500.6312,2498165182.57652,13480404957.9905,23185233140.9799
"Current","Goats","Adult Female","Gross Margin",-1555032446.99302,7369135350.09536,-16234119150.2786,12567993395.7459
"Current","Goats","Adult Female","Health Cost",3328124974.91798,513649501.272229,2409925807.55111,4409069348.01539
"Current","Goats","Adult Female","Labour Cost",5589449771.52397,591975079.975886,4442539303.10023,6747027337.10494
"Current","Goats","Adult Female","Population",1879175.86237419,15939.2866942351,1847598.66356415,1909497.30146465
"Current","Goats","Adult Female","Value of Herd Increase",14793306274.683,4342229974.46777,6281370153.31551,23373598727.2336
"Current","Goats","Adult Female","Value of Manure",1246016122.29519,55602351.6083875,1153685760.18631,1338698553.81905
"Current","Goats","Adult Female","Value of Offtake",9181115540.53529,2684620715.06043,3917225398.97539,14433078797.3658
"Current","Goats","Adult Male","Feed Cost",3458392871.17423,523739890.601248,2505043645.21308,4563593722.59481
"Current","Goats","Adult Male","Gross Margin",24720120589.1578,10322315643.9173,3955204507.37402,44705127264.4136
"Current","Goats","Adult Male","Health Cost",579238817.023391,99979393.945278,408598891.488611,792852075.370259
"Current","Goats","Adult Male","Labour Cost",968058172.648477,118267336.542599,741882535.719346,1199990436.79689
"Current","Goats","Adult Male","Population",408720.199912437,39574.1788349387,327449.277965142,480548.189049879
"Current","Goats","Adult Male","Value of Herd Increase",16553447703.2167,6127132828.02699,4855031469.32854,29007453426.2379
"Current","Goats","Adult Male","Value of Manure",215454942.310635,16098273.8279547,184981454.429053,246318869.863827
"Current","Goats","Adult Male","Value of Offtake",12956907804.4766,4852189594.29561,3656456637.59465,23096013779.4403
"Current","Goats","Juvenile","Feed Cost",2610435296.471,276513638.001101,2082189609.4298,3166310589.22547
"Current","Goats","Juvenile","Gross Margin",-7367794513.72089,900584477.711506,-9227260359.51875,-5658669725.28189
"Current","Goats","Juvenile","Health Cost",814753451.019284,92175622.1985272,651330842.387627,1008565569.95266
"Current","Goats","Juvenile","Labour Cost",1374981557.29258,102101596.645024,1176588746.26507,1575986888.37401
"Current","Goats","Juvenile","Population",842557.368745034,25494.7244285824,792748.878296089,892284.843587171
"Current","Goats","Juvenile","Value of Herd Increase",-2771195706.72196,860711951.582366,-4567964802.81579,-1146055905.13158
"Current","Goats","Juvenile","Value of Manure",203571497.783924,7229623.06435741,189711916.234968,217651134.938096
"Current","Goats","Juvenile","Value of Offtake",0,0,0,0
"Current","Goats","Juvenile Female","Feed Cost",1330446565.22765,203312189.795013,955897488.409356,1756244368.89389
"Current","Goats","Juvenile Female","Gross Margin",-4717476853.51948,839057114.664407,-6416190451.32022,-3092849492.60671
"Current","Goats","Juvenile Female","Health Cost",440704852.833397,69796794.7371802,318308141.392543,591979169.081475
"Current","Goats","Juvenile Female","Labour Cost",741682657.852968,77980381.4554924,592925434.976793,896160198.773116
"Current","Goats","Juvenile Female","Population",438943.200177901,13426.596444374,412558.758398423,465526.027713519
"Current","Goats","Juvenile Female","Value of Herd Increase",-2314529082.43138,815820333.970463,-3945771295.27808,-731809376.360863
"Current","Goats","Juvenile Female","Value of Manure",109886304.825917,5232980.1701129,100743494.173469,119352123.036566
"Current","Goats","Juvenile Female","Value of Offtake",0,0,0,0
"Current","Goats","Juvenile Male","Feed Cost",1279988731.24335,184956206.895505,929238033.297697,1653829963.56564
"Current","Goats","Juvenile Male","Gross Margin",-2650317660.20141,290796383.609892,-3250656792.02774,-2113656557.05212
"Current","Goats","Juvenile Male","Health Cost",374048598.185887,59038375.5554902,269867572.942758,497641494.602846
"Current","Goats","Juvenile Male","Labour Cost",633298899.43961,65487218.6365075,505735079.984249,760097604.745927
"Current","Goats","Juvenile Male","Population",403614.168567132,12907.4899675439,378410.598727826,428748.725126984
"Current","Goats","Juvenile Male","Value of Herd Increase",-456666624.290579,218543499.623391,-939926190.916472,-92954881.0324587
"Current","Goats","Juvenile Male","Value of Manure",93685192.9580066,4513018.39200675,85873648.9330133,101951947.636001
"Current","Goats","Juvenile Male","Value of Offtake",0,0,0,0
