"AHLE","Species","Production system","Age class","Cause","Disease","median","mean","sd","lower95","upper95"
"Mortality","Sheep","Agropastoral","Adult female","Non-infectious","Other causes",10342308404.799,10439399360.1196,15011143270.981,9781519088.27766,11097279631.9616
"Mortality","Sheep","Agropastoral","Adult male","External","Other causes",7879386310.95774,7868984153.01552,16975521307.9893,7125012799.79099,8612955506.24006
"Mortality","Sheep","Agropastoral","Adult male","Non-infectious","Other causes",4416926455.46292,4367626325.51583,9680793735.8635,3943354629.50798,4791898021.52367
"Mortality","Sheep","Agropastoral","Juvenile","External","Other causes",407505377.829553,432124172.169416,618698741.023752,405009002.552733,459239341.7861
"Mortality","Sheep","Agropastoral","Juvenile","Non-infectious","Other causes",1104199042.33373,1161526108.39846,1616770522.70415,1090669318.09396,1232382898.70296
"Mortality","Sheep","Agropastoral","Subadult","External","Other causes",1329126237.28434,1384977063.38771,1716452116.17242,1309751614.90544,1460202511.86999
"Mortality","Sheep","Agropastoral","Subadult","Non-infectious","Other causes",3309303524.46239,3417699688.95329,4189816141.80194,3234076274.49524,3601323103.41134
"Production loss","Goats","Agropastoral","Adult female","External","Other causes",5473813811.96748,5754160281.65174,4840398905.41252,5542024344.35293,5966296218.95055
"Production loss","Goats","Agropastoral","Adult female","Non-infectious","Other causes",22180371192.8501,22052446815.4623,17893595445.5744,21268239828.4621,22836653802.4625
"Production loss","Goats","Agropastoral","Adult male","External","Other causes",1510414396.29964,1617906298.00556,3111341804.96048,1481548236.83125,1754264359.17986
"Production loss","Goats","Agropastoral","Adult male","Non-infectious","Other causes",3789265269.03245,3909328722.23265,7361255759.82816,3586713392.21072,4231944052.25457
"Production loss","Goats","Agropastoral","Juvenile","External","Other causes",602539408.447847,639136220.151496,762586584.182289,605715003.642642,672557436.66035
"Production loss","Goats","Agropastoral","Juvenile","Non-infectious","Other causes",2000569633.81568,2012156088.64663,2335976270.39218,1909779295.88409,2114532881.40917
"Production loss","Goats","Agropastoral","Subadult","External","Other causes",1047816171.5643,1146576809.80995,1316939180.97848,1088860465.97514,1204293153.64476
"Production loss","Goats","Agropastoral","Subadult","Non-infectious","Other causes",3915539199.83378,4050433941.53418,4548699520.4181,3851082058.53636,4249785824.532
"Production loss","Sheep","Agropastoral","Adult female","External","Other causes",6479166298.19121,6768704079.97282,6771565088.60192,6471932608.21576,7065475551.72987
"Production loss","Sheep","Agropastoral","Adult female","Non-infectious","Other causes",25743988435.1672,26051102839.9375,25398320127.3895,24937992835.7156,27164212844.1593
"Production loss","Sheep","Agropastoral","Adult male","External","Other causes",8198970552.11115,8492364945.11116,8535967389.47658,8118266553.98602,8866463336.23631
"Production loss","Sheep","Agropastoral","Adult male","Non-infectious","Other causes",20364596267.3109,20466517963.6004,20046904048.4266,19587939800.2393,21345096126.9615
"Production loss","Sheep","Agropastoral","Juvenile","External","Other causes",4125477300.10532,4386495218.59208,3429622732.5556,4236188137.05413,4536802300.13002
"Production loss","Sheep","Agropastoral","Juvenile","Non-infectious","Other causes",13585721450.8206,13692096352.7584,10183035995.0908,13245813323.6984,14138379381.8184
"Production loss","Sheep","Agropastoral","Subadult","External","Other causes",6440986385.58028,6804144128.0357,4542088453.1329,6605081982.51252,7003206273.55888
"Production loss","Sheep","Agropastoral","Subadult","Non-infectious","Other causes",24754183686.2892,24784469289.3956,15524829820.0796,24104076125.5998,25464862453.1914
