"Value","n","Type","Scenario","Species","Parameter"
0.044573270287502,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0447113149472303,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0448493596069586,9,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.044987404266687,9,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0451254489264153,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0452634935861436,14,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.045401538245872,17,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0455395829056003,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0456776275653286,16,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.045815672225057,14,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0459537168847853,21,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0460917615445136,22,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.046229806204242,17,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0463678508639703,19,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0465058955236986,15,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0466439401834269,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0467819848431553,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0469200295028836,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0470580741626119,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0471961188223403,24,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0473341634820686,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0474722081417969,23,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0476102528015253,19,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0477482974612536,21,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0478863421209819,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0480243867807103,26,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0481624314404386,31,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0483004761001669,24,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0484385207598953,20,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0485765654196236,32,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0487146100793519,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0488526547390803,31,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0489906993988086,29,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0491287440585369,28,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0492667887182653,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0494048333779936,18,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0495428780377219,29,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0496809226974503,30,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0498189673571786,26,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0499570120169069,37,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0500950566766352,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0502331013363636,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0503711459960919,36,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0505091906558202,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0506472353155486,40,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0507852799752769,34,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0509233246350052,47,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0510613692947336,40,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0511994139544619,40,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0513374586141902,31,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0514755032739186,30,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0516135479336469,44,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0517515925933752,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0518896372531036,47,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0520276819128319,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0521657265725602,41,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0523037712322886,33,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0524418158920169,39,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0525798605517452,57,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0527179052114736,38,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0528559498712019,47,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0529939945309302,47,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0531320391906586,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0532700838503869,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0534081285101152,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0535461731698435,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0536842178295719,47,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0538222624893002,56,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0539603071490285,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0540983518087569,43,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0542363964684852,51,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0543744411282135,66,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0545124857879419,43,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0546505304476702,62,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0547885751073985,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0549266197671269,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0550646644268552,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0552027090865835,49,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0553407537463119,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0554787984060402,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0556168430657685,50,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0557548877254969,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0558929323852252,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0560309770449535,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0561690217046819,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0563070663644102,49,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0564451110241385,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0565831556838668,54,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0567212003435952,67,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0568592450033235,68,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0569972896630518,54,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0571353343227802,53,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0572733789825085,62,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0574114236422368,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0575494683019652,70,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0576875129616935,62,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0578255576214218,58,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0579636022811502,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0581016469408785,43,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0582396916006068,58,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0583777362603352,52,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0585157809200635,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0586538255797918,62,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0587918702395202,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0589299148992485,66,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0590679595589768,55,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0592060042187052,57,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0593440488784335,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0594820935381618,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0596201381978902,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0597581828576185,68,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0598962275173468,54,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0600342721770751,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0601723168368035,57,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0603103614965318,66,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0604484061562601,62,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0605864508159885,60,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0607244954757168,77,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0608625401354451,77,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0610005847951735,63,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0611386294549018,60,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0612766741146301,46,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0614147187743585,59,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0615527634340868,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0616908080938151,72,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0618288527535435,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0619668974132718,54,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0621049420730001,64,"Distribution","PPR","Sheep","annual_inc_SA_J"
